Id,text,label
1,"I thought his class was extremely hard but despite it all, I became a confident writer. People on here say 'you can only get a c on a paper' WRONG. I got an A and a B. You just have to be in it to win it. If you want to get an A, get a different teacher. If you want learn, Go for Rand. He made Eng. 110 worth something.",neutral
2,"Steven Rand is a nice person and really interesting to hear him speak. I am always inspired after a lecture. However, never expect to get anything higher than a C. You can think your paper is perfect but, he will tear it apart in seconds. Take a different professor if you don't want to put 9 hours of work into a paper you get an 'average' grade on.",neutral
3,Hard class ,neutral
4,He will only give your paper a C. It does not matter if it is good or not. Work extremely hard if you plan on passing.,neutral
5,"He was a very hard grader, but he graded on improvement throughout the semester, not on how great of a  greater you were (I mean he obviously graded on how good of a writer you were, but it was more on how much you progressed). I learned a lot from him. I am even taking me next english class with him. Definitely take his course if you can!",neutral
6,"This was a tough class. I expected all college classes to be like this, but since most are not it was somewhat refreshing to have a professor push me this much. If you are willing to put in the work for Mr. Rand you will reep the benefits. If not, then take this class from someone else.",neutral
7,"For as much of a waste as UNIV 101 is, he did an ok job at keeping things interesting.  Avoid UNIV 101 altogether if you can.",neutral
8,"His expectations are high for a required 100-level class, especially since most who take it aren't English majors. To his credit, he's smart and gives good feedback. I wouldn't recommend him to a freshman.",neutral
9,"Hey be nice. Yeah, he's hard to understand, and a very harsh grader, but he's a teacher and at least he's doing his job (of course, everyone including me would love easier, more comprehendable classes) just be greatful he's willing to put up with everyone's bull hoping that he helped at least one student improve in literature.",neutral
10,This was by far the best learning experience I have had at UND. He is a hard grader but he helps by marking your papers with serious suggestions. I feel that many mistake his marks for personal attacks when he is only trying to bring the best out in his students. My writing skills have improved a hundred fold. I would recommend him to anyone.,neutral
11,"hes pretty tough, expects too much",neutral
12,"The course is difficult, but doable. Mr. Farm will help you, but the key to this course is to use  math learning center. He is a professor that wants to see you pass so he tries to help as much as possible.",neutral
13,"Mr. Farm is one of the nicest people you will meet. WebAssign assignments get handed out every day after class to practice problems and a quiz usually appears every day at class. Do a lot of practice questions for the 3 midterm tests. For the final he makes you understand the concepts instead of memorizing problems. Put the work in, get an A.",neutral
14,"Mr. Farm is the best math teacher I have ever had. He is super funny and very passionate about what he does. There is a quiz almost every day in class, but it is not the end of the world if you miss one.",neutral
15,He will answer all the questions you have. And he is willing to give his students a second chance to take passed due hw. Random in class quizzes is easy!,neutral
16,"Took this class for interest, also was the first math course in College. It was very hard to start with, extensive and new HW every class(Webassign), Prepare to do them, with solid understanding. attendence are vital. Test are very based on in class assignments and lecture examples.",neutral
17,"Farm has homework almost nightly, but it nothing that wasn't able to be done quickly for the most part.  His final test accounted for the most percentage of the points in the class so studying is mandatory if you want to pass this class.",neutral
18,"Mr. Farm is the nicest man you will ever meet. His concepts are easy to figure out. As long as you pay attention and show up, you will be fine.",neutral
19,Kinda quirky but he's a good guy that cares. Show up everyday for free points. Quizzes almost every week (turned into group quizzes by the end of the semester). Test very similar to quizzes. Homework almost every day and it is much harder than what you will see on the quizzes/test though if you ask for extensions you'll get it every time. Math On!,neutral
20,"Kind of weird, makes corny jokes all the time but one of the better math professors I've had. He's passionate about the subject and it shows. He spends extra time making sure that his students understand the reasons behind why you do certain steps and, for me, it was helpful in my understanding. Recommended.",neutral
21,"Mr. Farm is a good teacher, but is not quite clear on the types of questions we need to go over. The homework and in-class assignments are a lot tougher than the actual exams.",neutral
22,"Mr. Farm knows math and he wants you to learn.  Don't expect him to just give you the answers. He will answer any and every question and clarify anything you need.  Attend class, do the assignments and you'll do fine.  Gives 2 tests (10 questions each) and final (15 questions). Super nice, nerdy guy who's motto is 'Math on!' ",neutral
23,  He tries his best to make sure everyone gets the help they need.  He tries to make lecture fun. He gives a lot of homework but will extend deadline to the amount of time you need to get done.  He is a good guy.,neutral
24,"Mr. Farm was always willing to help, he just requires you put in the work.  I was never a fan of math until I took his class. You can ask him fifty questions and he will do his best to answer you. Depending on the class he does lots of assignments or little quizes. I would highly recommend him. Attendance is not required but helps a lot!",neutral
25,"This guy is genuinely there for his students and is willing to help.  I ended the class with 101% in the class, so getting an A isn't an impossible feat.. I suggest doing the all assignments, the study guides, and getting Calc. for dummies, which was a HUGE help for me. DON'T GET THE TEXTBOOK, I NEVER USED IT. PRACTICALLY WORTHLESS.",neutral
26,"The class is difficult, so you will not pass by just attending class and expecting to absorb the information. If you don't put in effort outside of class then you are preparing to fail. Stuart is sometimes hard to follow, but he offers many opportunities to seek help, and he cares about his students. Even though he is goofy, he's a really good guy.",neutral
27,"He might not be the clearest lecturer in the world but he is the absolute BEST one-on-one teacher I had in my four years at UND.  He's so encouraging and genuinely wants his students to do well.  If you're not willing to spend time on the homework & go to his office hours then you probably won't get a good grade, but that's your own fault.",neutral
28,"Extremely difficult class, but a requirement. That being said, even with all the bad reviews Farm knows what he's doing. His classes are difficult to follow and I wouldnt have passed with just attendance. He was available whenever I needed to ask him questions, and once responded to an email of mine at 4:30am. Dont know if I would pass without him",neutral
29,"Mr farm is a really nice guy but he is a very hard teacher. He takes the majority of class time showing you how to get a FORMULA. then there is only a short time to learn how to use the actual formula. I got A's on all my maths tests in highschool, out of four this year i got one B and the rest are lower then that. good luckk.",neutral
30,Very Helpful and Easy to get help from. Tests are kind of hard but he gives you review sheets. Overall good teacher,neutral
31,He is a very nice guy. Alot of people do not like him because of his grading but if you go in for help he will help you! Also the online homework is very easy and will help. He is a very nice man!,neutral
